št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
32;5878756000;I;2013;-1,07;-0,68;-0,21;-0,22;0,83;0,82;13261,46;-14789,58;-0,90;-0,04;0,00;0,97;1,23;0,23;1,16;0,95;0,14;0,03;0,11;0,37;0,63;0,59;150,00;0,00;0,86;0,00;0,24;0,70;0,00;0,73;0,51;3,22;8,17;9,57;4,91;6,94;-0,21;-0,03;-0,13;-0,20;-0,34;-0,08;-1,00;9,72;0,00
33;6917682000;I;2017;-0,01;0,00;0,23;-0,02;0,97;0,98;24834,29;-1387,92;0,00;0,00;0,00;0,00;0,01;0,00;0,05;0,39;-0,61;-4,71;0,00;0,28;0,72;0,38;24,03;0,11;91,54;0,00;0,99;0,00;0,00;0,00;0,00;0,13;260,75;7,74;55,91;0,00;0,04;0,20;0,03;0,04;-0,03;-0,46;-1,00;12,77;0,00
34;6575820000;I;2016;0,33;0,01;0,16;0,11;1,02;1,13;28241,07;1238,25;0,05;0,00;0,00;0,62;0,65;0,14;0,48;0,97;-0,02;-0,05;0,07;0,02;0,98;0,02;13,73;0,91;1,54;0,00;0,82;0,04;0,13;0,04;0,02;0,46;18,84;5,37;10,14;0,00;0,51;0,07;0,03;0,03;0,00;0,16;0,57;13,36;0,00
35;6030700000;I;2014;-2,00;-1,42;-0,31;-0,41;0,78;0,71;-14179,68;-64813,36;-4,89;-3,95;1,00;0,15;0,15;0,01;0,35;-40,97;-5,67;-0,35;0,06;-5,67;6,67;-0,85;150,00;0,00;6,67;1,00;0,00;1,00;0,00;1,00;0,06;4,46;31,93;4,47;14,35;0,00;-1,03;-0,42;-3,59;-1,03;-0,80;-0,24;-0,32;7,76;0,00
36;5762227000;I;2017;-2,00;-0,04;-0,19;-0,26;0,95;0,79;6964,16;-2808,75;-0,17;-1,57;1,00;0,02;0,05;0,02;0,01;-0,96;-1,81;-2,83;0,01;-0,92;1,92;-0,48;150,00;0,01;19,57;1,00;0,02;0,10;0,00;0,10;0,04;0,63;151,97;0,46;7,67;0,00;-0,02;-0,05;-0,03;-0,02;-0,05;-0,34;0,02;11,43;0,00
37;2350114000;I;2015;-0,08;-0,02;-0,01;-0,01;0,99;0,99;13454,00;-138,50;-0,02;-0,24;0,00;1,11;1,28;0,88;0,23;1,75;0,22;0,08;0,07;0,23;0,77;0,30;150,00;0,00;0,78;0,00;0,00;0,97;0,00;0,99;0,06;2,96;18,69;1,40;3,02;11,52;0,03;0,01;0,02;0,03;0,22;0,02;-1,00;9,64;0,00
38;1717251000;I;2016;0,12;0,05;0,20;0,09;1,07;1,10;36805,05;5768,07;0,08;0,02;0,00;0,14;0,14;0,03;0,11;0,87;-0,13;-0,16;0,02;0,38;0,62;0,60;3,70;0,48;7,28;0,00;0,91;0,02;0,00;0,02;0,23;0,89;64,19;4,69;35,78;0,00;1,30;0,23;0,19;0,31;0,16;0,46;0,88;13,18;0,00
39;2161443000;I;2016;0,11;0,05;0,15;0,07;1,06;1,07;30531,94;3748,63;0,05;-0,41;0,00;0,54;0,59;0,11;1,95;0,79;-0,15;-0,20;0,20;0,43;0,58;0,74;5,10;0,21;1,72;0,00;0,78;0,21;0,00;0,22;0,01;0,78;8,16;5,98;3,86;0,00;0,01;0,01;0,00;0,01;0,03;0,43;1,00;14,92;0,00
40;1574523000;I;2017;0,14;0,07;0,12;0,08;1,09;1,08;20141,94;2691,20;0,08;0,48;0,00;0,73;0,75;0,63;0,14;0,80;-0,12;-0,12;0,05;0,49;0,51;0,97;4,49;0,03;1,33;0,00;0,15;0,13;0,72;0,36;0,01;1,00;33,66;1,42;8,53;0,00;0,13;0,06;0,06;0,12;0,06;0,04;0,00;13,84;0,00
41;5589517000;I;2017;0,07;0,02;0,07;0,04;1,02;1,04;21512,86;886,21;0,04;-0,20;0,00;0,28;0,32;0,04;0,27;0,72;-0,24;-0,22;0,08;0,29;0,71;0,40;9,80;0,36;3,09;0,00;0,65;0,12;0,18;0,12;0,02;1,15;22,54;1,93;15,34;0,00;-0,03;-0,01;-0,01;-0,01;0,07;-0,02;-0,36;13,86;0,00
42;1778854000;I;2015;-2,00;0,87;-0,85;-1,30;1,13;0,44;-5717,46;4426,98;-4,89;0,00;0,00;0,00;0,03;0,00;0,00;-38,62;-16,69;-3,18;0,00;-18,53;19,53;-0,95;150,00;0,00;39,57;1,00;0,00;1,00;0,00;1,00;0,06;8,90;537,68;0,39;20,47;0,00;-0,01;-0,04;-0,48;-0,01;-0,42;-0,12;1,00;7,54;0,00
43;5782473000;I;2014;0,01;0,01;0,06;0,03;1,01;1,03;121500,00;13000,00;0,02;0,13;0,00;1,01;1,06;0,00;12,11;1,00;0,02;0,04;0,60;0,38;0,62;0,62;16,82;0,27;0,94;0,00;0,64;0,37;0,00;0,37;0,18;0,66;2,44;46,24;1,88;0,00;-0,48;-0,29;-0,17;-0,27;0,34;-0,31;-0,69;11,35;0,00
44;2212943000;I;2014;0,16;0,04;0,15;0,08;1,05;1,08;25834,00;5422,00;0,07;0,17;0,00;0,27;1,62;0,23;0,08;0,90;0,09;0,09;0,01;0,25;0,75;0,34;5,71;0,61;0,62;0,00;0,78;0,20;0,02;0,22;0,00;0,89;72,63;10,76;5,16;22,27;0,08;0,01;0,01;0,01;-0,03;0,05;0,03;12,31;0,00
45;1519603000;I;2017;2,65;0,27;0,07;0,06;1,07;1,07;23813,21;3547,31;0,30;0,00;0,00;0,81;0,85;0,49;0,44;0,54;-0,13;-0,03;0,05;0,15;0,85;0,18;2,38;0,04;1,18;0,00;0,26;0,55;0,14;0,69;0,09;4,66;16,02;5,12;7,85;0,00;0,57;0,10;0,47;0,55;-0,05;0,03;0,24;12,62;0,00
46;5562082000;I;2014;0,04;0,03;0,08;0,01;1,01;1,01;19477,00;832,00;0,03;0,16;0,00;1,40;1,41;0,32;2,04;1,26;0,14;0,06;0,16;0,65;0,35;1,89;1,92;0,00;0,71;0,00;0,51;0,49;0,00;0,49;0,75;2,65;5,95;9,71;4,35;9,70;0,69;0,10;0,24;0,69;0,24;0,13;0,71;10,32;0,00
47;5378648000;I;2014;0,02;0,01;0,05;0,01;1,01;1,01;25469,32;705,68;0,02;0,13;0,00;2,46;2,57;0,97;3,30;3,76;0,52;0,39;0,37;0,27;0,73;0,37;10,27;0,40;0,39;0,00;0,09;0,76;0,09;0,86;0,10;1,34;2,53;7,09;1,72;2,66;0,35;0,09;0,12;0,16;-0,01;0,14;-0,79;11,49;0,00
