št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
5114;3741443000;I;2014;0,20;0,12;0,04;0,04;1,04;1,04;14543,20;1121,30;0,14;0,06;0,00;2,22;2,49;0,02;2,21;5,60;0,60;0,16;0,23;0,60;0,40;1,49;2,88;0,00;0,40;0,00;0,00;1,00;0,00;1,00;0,06;4,08;4,34;6,05;3,93;7,09;0,02;0,00;0,01;0,02;0,13;32,97;1,00;9,76;0,00
5115;7240198000;I;2017;0,52;0,15;0,02;0,02;1,02;1,02;16468,61;1308,38;0,12;0,00;0,00;1,30;1,41;1,26;0,04;3,72;0,29;0,05;0,01;0,29;0,71;0,41;6,14;0,00;0,71;0,00;0,00;1,00;0,00;1,00;0,06;11,98;419,68;14,12;11,79;41,22;0,95;0,11;0,67;0,95;0,02;0,07;1,00;10,45;0,00
5116;3390462000;I;2015;0,02;0,00;0,03;0,01;1,00;1,01;22545,46;112,88;0,03;0,00;0,00;0,88;0,99;0,60;0,47;0,64;-0,01;-0,01;0,10;0,11;0,89;0,12;11,81;0,07;1,01;0,00;0,09;0,34;0,58;0,81;-0,16;2,50;9,70;3,84;6,43;0,00;0,04;0,02;0,04;0,04;0,11;-0,20;0,15;11,21;0,00
5117;2268515000;I;2015;-5,80;-0,77;-0,61;-0,83;0,54;0,55;-14179,68;-64813,36;-0,59;0,00;0,00;1,09;1,14;0,91;0,18;1,09;0,07;0,09;0,12;-0,20;1,20;-0,17;150,00;0,73;0,88;1,00;0,46;0,34;0,19;0,54;1,21;0,89;11,27;3,51;5,07;3,03;-0,40;-0,27;-0,19;-0,16;0,77;2,89;-1,00;10,37;0,00
5118;6871747000;I;2015;0,13;0,04;0,02;0,02;1,02;1,02;18554,00;636,33;0,02;0,00;0,00;9,64;9,64;7,33;2,31;0,84;0,90;0,85;0,23;0,30;0,70;0,42;31,32;0,00;0,70;0,00;0,00;0,25;0,75;1,00;0,06;2,12;8,86;20,01;8,22;2,37;4,66;0,46;0,48;0,69;0,02;0,07;1,00;10,21;0,00
5119;6517609000;I;2016;0,34;0,15;0,22;0,22;1,28;1,28;102066,85;26618,25;0,20;0,00;0,00;2,77;2,77;1,00;1,77;0,84;0,64;0,68;0,68;0,64;0,36;1,77;1,78;0,00;0,36;0,00;0,00;1,00;0,00;1,00;0,06;0,75;0,88;0,32;0,59;1,72;0,94;0,36;0,34;0,94;-0,34;-0,78;1,00;10,27;0,00
5120;6767010000;I;2016;0,09;0,04;0,02;0,02;1,01;1,02;17543,22;498,79;0,07;0,10;0,00;1,32;1,46;1,20;0,12;2,77;0,31;0,09;0,02;0,33;0,67;0,50;10,28;0,00;0,69;0,00;0,03;0,21;0,76;0,97;0,00;4,43;63,56;5,48;14,27;11,45;0,68;0,14;0,45;0,68;0,98;0,60;-0,57;10,51;0,00
5121;3544052000;I;2013;0,17;0,10;0,16;0,14;1,18;1,16;18554,00;636,33;0,12;0,01;0,00;2,88;2,88;2,70;0,18;26,41;0,64;0,75;0,07;0,66;0,34;1,93;2,49;0,00;0,35;0,00;0,02;0,44;0,54;0,98;0,00;0,83;5,08;1,68;1,56;1,47;0,54;0,22;0,18;0,53;-0,04;-0,27;-0,71;9,64;0,00
5122;1719335000;I;2013;-2,00;-0,67;-0,29;-0,33;0,81;0,75;-1882,50;-13482,00;-1,06;-2,12;1,00;0,17;0,19;0,13;0,23;-6,86;-2,97;-0,92;0,04;-2,68;3,68;-0,73;150,00;0,00;5,17;1,00;0,06;0,71;0,00;0,71;0,58;2,57;16,28;7,51;4,53;0,00;-0,11;-0,13;-0,41;-0,11;-0,34;0,04;-0,37;10,38;0,00
5123;3547078000;I;2016;-0,46;-0,07;0,00;-0,02;0,98;0,98;11760,60;-925,40;-0,06;-0,25;1,00;0,31;0,41;0,22;0,29;0,52;-0,53;-0,17;0,03;0,11;0,89;0,12;174,78;0,00;2,44;0,00;0,12;-0,11;0,00;0,37;0,00;3,25;40,09;5,73;0,00;0,00;-0,29;-0,08;-0,26;-0,29;0,11;-0,05;0,27;9,80;0,00
5124;6555896000;I;2015;0,06;0,04;0,07;0,07;1,01;1,08;13314,00;489,00;0,20;0,05;0,00;2,54;2,61;2,54;0,00;24,21;0,62;0,22;0,00;0,62;0,38;1,61;1,94;0,00;0,38;0,00;0,00;0,08;0,92;1,00;0,06;3,43;19,88;8,17;13,21;4,75;1,22;0,16;0,47;1,22;0,52;-0,06;-0,13;9,55;0,00
5125;2191199000;I;2013;0,15;0,02;-0,06;-0,08;1,01;0,93;12824,69;256,55;-0,13;0,04;0,00;0,59;0,62;0,15;0,53;0,82;-0,13;-0,08;0,09;0,07;0,93;0,08;150,00;0,58;1,60;0,00;0,73;0,16;0,05;0,22;0,90;2,62;11,43;5,19;10,88;0,00;0,46;0,10;0,16;0,18;2,72;0,38;-0,11;12,86;0,00
5126;5664497000;I;2015;-2,00;-2,08;-0,11;-0,12;0,89;0,89;8360,50;-6038,00;-2,75;-16,24;1,00;0,03;0,06;0,02;0,03;-25,20;-13,53;-0,60;0,01;-16,81;17,81;-0,94;150,00;2,09;17,09;1,00;0,09;0,78;0,00;0,84;-1,46;16,59;194,22;3,60;26,06;0,00;-0,17;-0,11;-2,49;-0,14;-0,42;0,01;-0,07;8,36;0,00
5127;1227599650;I;2016;0,40;0,06;0,12;0,10;1,12;1,11;20979,59;4863,34;0,07;0,00;0,00;0,59;0,64;0,27;0,58;0,75;-0,16;-0,25;0,22;0,18;0,82;0,22;10,56;0,38;1,56;0,00;0,72;0,29;0,00;0,29;0,00;0,67;4,69;1,54;2,32;0,00;0,17;0,12;0,07;0,09;0,07;0,29;0,82;12,70;0,00
5128;7256943250;I;2017;0,79;0,12;0,04;0,03;1,03;1,03;42994,41;5324,43;0,09;0,00;0,00;0,65;0,77;0,62;0,05;0,35;-0,19;-0,07;0,01;0,15;0,85;0,18;6,74;0,00;1,30;0,00;0,25;0,28;0,46;0,65;0,84;5,69;224,60;9,60;19,40;0,00;0,54;0,16;0,46;0,54;0,02;0,07;1,00;11,42;0,00
5129;2277409000;I;2016;0,24;0,06;0,18;0,11;1,11;1,12;19482,44;3273,61;0,07;0,12;0,00;0,99;1,00;0,38;1,95;1,00;0,00;0,00;0,25;0,31;0,70;0,44;5,72;0,42;1,01;0,00;0,73;0,27;0,00;0,27;0,35;0,76;4,09;5,15;2,09;0,00;0,49;0,20;0,13;0,19;0,29;0,30;0,15;13,42;0,00
5130;5443776000;I;2014;0,09;0,04;0,05;0,04;1,04;1,04;18554,00;636,33;0,04;0,11;0,00;1,27;1,62;1,27;0,00;1,58;0,36;0,31;0,00;0,43;0,57;0,75;10,21;0,00;0,62;0,00;0,07;0,93;0,00;0,93;0,00;1,13;26,58;1,92;1,22;3,35;0,12;0,06;0,07;0,12;0,08;0,41;-0,10;10,48;0,00
5131;2352753000;I;2013;-2,00;0,16;0,07;0,06;1,07;1,07;23100,00;5155,74;0,20;-0,70;0,00;0,19;0,33;0,17;0,03;0,03;-0,65;-0,21;0,01;0,02;0,98;0,02;4,46;0,00;3,02;0,00;0,66;0,31;0,00;0,32;0,00;2,63;14,41;2,82;6,81;0,00;0,12;0,04;0,12;0,12;-0,21;-0,01;1,00;11,15;0,00
5132;1972537000;I;2014;0,11;0,04;0,03;0,02;1,01;1,02;19751,00;1509,00;0,07;0,12;0,00;0,56;1,42;0,52;0,04;0,66;0,23;0,05;0,01;0,45;0,55;0,83;3,98;0,00;0,70;0,00;0,22;0,77;0,00;0,78;0,29;3,92;96,05;5,54;4,80;20,68;-0,22;-0,03;-0,12;-0,22;-0,15;-0,13;0,98;10,41;0,00
5133;6762018000;I;2015;0,06;0,02;0,04;0,01;1,01;1,01;18905,99;369,72;0,02;0,00;0,00;0,65;0,90;0,26;0,03;0,81;-0,04;-0,02;0,01;0,42;0,58;0,72;7,71;0,17;1,11;0,00;0,61;0,37;0,00;0,37;1,08;3,92;418,08;9,98;10,20;0,00;0,57;0,12;0,23;0,40;0,02;0,07;1,00;11,54;0,00
5134;1954253000;I;2015;0,11;0,09;0,07;0,05;1,05;1,05;23856,76;2570,91;0,10;0,60;0,00;1,06;1,34;0,65;0,42;1,01;0,05;0,03;0,03;0,85;0,16;5,46;1,04;0,00;0,75;0,00;0,31;0,21;0,49;0,21;0,15;2,13;35,67;7,86;8,43;31,20;0,65;0,05;0,10;0,65;0,08;0,02;-0,13;12,95;0,00
5135;5294380000;I;2014;-0,01;0,00;0,06;0,00;1,00;1,00;32800,00;-904,00;0,01;0,11;0,00;0,28;0,34;0,19;0,10;0,60;-0,26;-0,14;0,02;0,52;0,48;1,08;4,69;0,01;3,45;0,00;0,86;0,09;0,05;0,14;0,01;1,81;78,40;5,22;20,25;0,00;0,21;0,05;0,09;0,18;-0,04;0,04;-1,00;11,53;0,00
5136;6619606000;I;2014;-0,64;-0,15;-0,03;-0,03;0,97;0,97;12553,60;-1454,40;-0,07;0,00;0,00;1,02;1,24;0,45;0,58;0,90;0,17;0,08;0,19;0,24;0,76;0,31;150,00;0,00;0,85;0,00;0,11;0,64;0,25;0,90;1,00;4,43;10,70;4,32;7,14;25,45;0,16;0,05;0,11;0,15;0,02;0,07;-1,00;10,08;0,00
5137;5677114000;I;2016;0,06;0,06;0,16;0,16;1,20;1,19;18554,00;636,33;0,07;0,52;0,00;15,35;16,60;8,35;7,00;2,45;0,62;1,49;0,67;0,96;0,04;24,22;0,59;0,00;0,06;0,00;0,00;0,66;0,34;0,66;0,00;0,43;1,27;8,76;0,52;0,65;3,11;0,30;0,12;3,01;0,06;-0,21;0,37;11,00;0,00
5138;3306399000;I;2017;0,01;0,00;0,02;0,00;1,00;1,00;21108,87;37,05;0,00;-2,83;0,00;1,03;1,06;0,03;1,00;1,26;0,05;0,02;0,26;0,21;0,79;0,26;13,94;0,00;0,94;0,00;0,14;0,82;0,00;0,84;0,01;2,97;4,06;2,54;3,63;139,16;0,02;0,00;0,01;0,02;-0,05;0,03;-0,26;12,29;0,00
5139;6293999000;I;2017;1,05;0,44;0,15;0,12;1,17;1,14;23286,83;5948,53;0,32;0,05;0,00;0,46;0,58;0,25;0,21;0,82;-0,13;-0,05;0,03;0,47;0,53;0,90;1,33;0,22;1,72;0,00;0,43;0,17;0,39;0,18;0,62;3,57;39,37;4,27;6,99;250,64;1,21;0,14;0,37;0,70;1,13;2,79;0,94;11,21;0,00
5140;7039522000;I;2016;-2,00;-1,25;-0,11;-0,11;0,90;0,90;10631,65;-4861,43;-0,63;0,00;0,00;0,57;0,57;0,43;0,14;-2,61;-0,63;-0,11;0,04;-0,45;1,45;-0,31;150,00;0,00;1,76;1,00;0,17;0,83;0,00;0,83;1,06;11,34;55,91;5,90;15,22;0,00;0,44;0,11;0,64;0,44;0,02;0,07;-1,00;10,68;0,00
5141;6378676000;I;2013;-2,00;-0,15;-0,61;-0,76;0,57;0,57;18554,00;636,33;-0,08;0,00;0,00;1,59;1,59;0,33;1,26;1,01;0,01;0,06;0,12;-0,06;1,06;-0,06;150,00;1,05;0,67;1,00;0,99;0,02;0,00;0,02;1,02;0,20;16,68;33,81;21,59;35,52;-4,78;-0,63;-0,06;-0,06;0,02;0,07;-1,00;13,23;0,00
5142;6261566000;I;2015;0,13;0,04;0,06;0,03;1,03;1,03;25823,15;1063,92;0,05;0,20;0,00;1,45;1,51;0,42;1,11;1,98;0,27;0,19;0,38;0,27;0,73;0,37;8,13;0,21;0,66;0,00;0,21;0,79;0,00;0,79;0,75;1,78;3,45;1,55;2,19;6,68;0,05;0,02;0,03;0,04;0,67;0,26;-0,18;12,91;0,00
5143;2318881000;I;2013;0,27;0,02;0,16;0,05;1,05;1,06;36702,47;3366,31;0,02;-0,10;0,00;0,16;0,25;0,01;0,20;0,93;-0,06;-0,18;0,04;0,06;0,94;0,07;18,95;0,86;4,07;0,00;0,98;0,02;0,00;0,02;0,01;0,30;17,00;2,60;11,17;0,00;0,78;0,19;0,06;0,07;-0,04;-0,04;0,04;14,76;0,00
5144;3992055000;I;2013;0,05;0,05;0,86;0,14;1,16;1,16;18554,00;636,33;0,06;-0,38;0,00;23,32;26,36;13,47;12,11;1,63;0,38;0,99;0,53;0,97;0,03;30,18;0,21;0,00;0,03;0,00;0,58;0,21;0,18;0,39;0,00;0,37;3,79;0,28;0,25;1,90;-4,78;-0,06;-0,02;-3,39;-0,11;-0,43;1,00;10,39;0,00
5145;6712177000;I;2017;2,65;0,69;0,14;0,13;1,15;1,16;24239,52;7002,34;0,58;0,00;0,00;1,35;1,39;0,31;1,67;2,27;0,23;0,06;0,15;0,39;0,61;0,65;1,00;0,00;0,72;0,00;0,15;0,84;0,00;0,84;0,54;5,79;9,26;6,83;6,10;275,17;0,39;0,06;0,24;0,39;1,08;0,14;0,76;10,66;0,00
5146;2334801000;I;2013;0,07;0,01;0,27;0,24;1,01;1,31;18554,00;636,33;0,21;0,00;0,00;1,06;1,06;0,00;2,15;1,35;0,05;0,05;0,96;0,19;0,82;0,23;3,29;0,00;0,95;0,00;0,05;0,86;0,00;0,86;0,00;1,00;1,27;1,81;0,87;0,00;-0,13;-0,11;-0,10;-0,13;0,23;-0,15;1,00;10,66;0,00
5147;5689392000;I;2016;2,65;0,07;0,05;0,05;1,05;1,05;12231,48;1358,69;0,05;-0,24;0,00;0,90;0,90;0,00;0,00;0,84;-0,11;-0,11;0,00;-0,11;1,11;-0,10;23,66;0,00;1,11;1,00;0,00;1,00;0,00;1,00;0,06;1,70;479,55;1,06;1,62;131,27;1,01;1,12;0,99;1,01;4,52;0,37;-0,22;11,13;0,00
5148;5395801000;I;2014;0,09;0,06;0,05;0,01;1,02;1,02;21651,08;1243,08;0,05;0,09;0,00;0,90;0,90;0,79;0,15;1,08;-0,03;-0,01;0,01;0,63;0,37;1,67;2,39;0,07;1,11;0,00;0,26;0,20;0,00;0,28;0,22;3,34;117,66;9,36;21,11;0,00;0,44;0,04;0,14;0,37;0,13;0,03;0,34;11,20;0,00
5149;6971253000;I;2016;0,71;0,25;0,06;0,05;1,06;1,06;17849,17;2484,46;0,17;0,00;0,00;1,35;1,56;1,33;0,01;1,34;0,23;0,07;0,00;0,27;0,73;0,37;3,87;0,33;0,64;0,00;0,36;0,62;0,00;0,63;1,05;5,64;1487,85;10,71;9,62;17,91;1,14;0,15;0,46;0,63;6,84;307,45;1,00;10,98;0,00
5150;6659349000;I;2015;1,17;0,07;0,16;0,12;1,11;1,13;31722,00;8698,00;0,05;0,00;0,00;0,49;0,54;0,26;1,44;0,89;-0,09;-0,21;0,10;0,05;0,95;0,05;13,79;0,76;1,84;0,00;0,89;0,11;0,00;0,11;1,02;0,81;12,55;6,36;4,17;0,00;0,00;0,00;0,00;0,00;11,82;2,41;0,88;13,52;0,00
5151;6768962000;I;2017;0,34;0,20;0,02;0,02;1,02;1,02;21048,71;1728,01;0,18;0,10;0,00;1,86;2,05;0,11;1,75;5,56;0,51;0,05;0,08;0,51;0,49;1,05;2,67;0,00;0,49;0,00;0,00;1,00;0,00;1,00;0,06;14,08;15,67;34,23;13,82;23,23;0,28;0,01;0,14;0,28;1,23;118,25;0,39;10,28;0,00
5152;5149312000;I;2013;0,00;0,00;0,01;0,00;1,00;1,00;21692,14;170,71;0,00;0,22;0,00;1,75;1,75;1,57;0,18;7,03;0,40;0,58;0,14;0,47;0,53;0,87;61,56;0,00;0,57;0,00;0,06;0,12;0,82;0,94;-0,05;0,52;5,68;0,70;4,83;1,13;-0,31;-0,24;-0,16;-0,31;-0,40;-0,60;-0,99;13,34;0,00
5153;1840568000;I;2015;-2,00;0,14;0,10;0,07;1,07;1,07;21079,13;4160,00;0,08;-0,25;0,00;0,80;0,80;0,74;0,07;-0,62;-0,22;-0,19;0,06;-0,11;1,11;-0,10;10,31;0,02;1,25;1,00;0,13;0,47;0,39;0,87;1,24;2,24;33,75;1,40;4,30;0,00;0,96;0,92;0,99;0,94;0,02;0,07;1,00;11,15;0,00
5154;5833124000;I;2016;-2,00;-0,09;0,00;-0,01;0,99;0,99;19328,89;-966,25;-0,08;-0,33;0,00;0,83;1,02;0,40;0,62;0,80;0,01;0,00;0,05;-0,25;1,25;-0,20;150,00;0,62;0,98;1,00;0,24;0,63;0,00;0,64;0,27;6,09;20,46;8,78;9,34;80,34;-0,12;-0,01;-0,07;-0,06;0,00;0,04;-1,00;11,57;0,00
5155;6498191000;I;2014;-0,01;-0,01;0,00;0,00;1,00;1,00;18554,00;636,33;-0,02;-0,02;1,00;3,78;3,78;2,85;0,94;0,84;0,74;0,15;0,05;0,74;0,26;2,78;150,00;0,00;0,26;0,00;0,00;0,25;0,75;1,00;0,06;5,67;39,90;36,23;38,67;6,72;0,00;0,00;0,00;0,00;0,33;1,02;0,38;9,20;0,00
5156;5880238000;I;2017;-2,00;0,00;0,05;0,00;1,00;1,00;16292,64;-52,45;0,00;-0,37;1,00;0,94;1,31;0,90;0,03;1,00;0,06;0,03;0,00;-0,22;1,22;-0,18;9,26;1,01;0,77;1,00;0,67;0,26;0,05;0,27;0,00;2,40;508,55;8,43;10,97;98,10;0,66;0,06;0,14;0,11;-0,04;0,13;0,97;10,97;0,00
5157;3593703000;I;2014;-2,00;-1,54;-0,25;-0,27;0,79;0,79;14436,00;-10822,00;-2,37;-2,51;0,00;0,05;0,22;0,03;0,01;-1,98;-1,83;-0,21;0,00;-1,36;2,36;-0,58;150,00;0,00;4,49;1,00;0,27;0,24;0,08;0,53;1,28;5,64;287,97;3,36;40,40;0,00;-0,50;-0,14;-1,18;-0,50;-0,52;-0,25;-1,00;7,73;0,00
5158;6849113000;I;2017;-2,00;0,03;0,43;0,23;1,30;1,30;139959,23;53288,52;0,04;-0,07;0,00;6,50;6,50;4,51;2,91;1,10;0,09;0,54;0,20;-0,05;1,05;-0,05;15,18;1,03;0,15;1,00;0,90;0,10;0,00;0,10;0,00;0,16;4,94;8,70;1,31;2,91;4,66;0,46;0,07;0,07;0,04;307,45;1,00;12,68;0,00
5159;2338432000;I;2013;-2,00;-0,94;-0,85;-1,15;0,46;0,47;-14179,68;-22692,00;-0,89;-6,06;1,00;0,05;0,05;0,01;0,15;-10,64;-7,27;-9,39;0,39;-6,66;7,66;-0,87;150,00;0,00;20,01;1,00;0,62;0,31;0,07;0,38;0,00;0,82;2,71;0,90;5,62;0,00;0,01;0,08;0,07;0,01;0,12;0,29;0,48;10,14;0,00
5160;1972537000;I;2016;0,22;0,09;0,05;0,04;1,03;1,04;29237,10;6244,79;0,12;0,13;0,00;2,11;3,88;1,59;0,52;0,79;0,67;0,23;0,04;0,40;0,60;0,67;3,79;0,00;0,67;0,00;0,10;0,89;0,00;0,90;0,14;3,41;35,24;8,72;3,71;6,43;1,00;0,08;0,23;0,39;0,39;0,19;0,53;10,82;0,00
5161;7057954000;I;2016;0,15;0,08;0,01;0,01;1,01;1,01;15289,10;672,18;0,05;0,00;0,00;0,56;1,00;0,36;0,21;0,71;0,00;0,00;0,02;0,52;0,48;1,08;9,11;0,00;1,00;0,00;0,04;0,48;0,48;0,48;0,08;7,91;83,53;13,88;16,29;0,00;0,37;0,05;0,18;0,37;0,02;0,07;1,00;9,65;0,00
5162;1999869000;I;2014;1,78;0,18;0,05;0,03;1,03;1,03;17563,51;1297,53;0,14;0,00;0,00;0,18;0,47;0,17;0,01;0,43;-0,33;-0,06;0,00;0,18;0,82;0,23;2,72;0,20;2,15;0,00;0,71;0,29;0,00;0,29;0,17;5,88;577,40;5,67;23,08;0,00;0,36;0,04;0,23;0,28;0,07;0,25;1,00;10,91;0,00
5163;6202101000;I;2014;-0,26;-0,09;0,00;-0,11;0,84;0,90;14257,69;-37880,77;-0,04;0,06;0,00;0,45;0,52;0,44;0,03;0,90;-0,08;-0,22;0,01;0,43;0,57;0,76;305,50;0,40;1,94;0,00;0,91;0,09;0,00;0,09;0,52;0,45;63,56;1,52;3,55;0,00;-1,42;-0,64;-0,23;-0,41;0,67;-0,32;-1,00;11,84;0,00
5164;6263917000;I;2016;0,07;0,00;0,00;0,00;1,00;1,00;17070,21;27,13;0,00;-0,11;0,00;1,05;1,05;0,86;1,04;0,84;0,05;0,02;0,08;0,05;0,95;0,05;305,50;0,00;0,95;0,00;0,00;1,00;0,00;1,00;0,06;2,22;14,09;1,21;2,22;48,57;-0,09;-0,04;-0,08;-0,09;-0,03;1,10;0,71;10,78;0,00
5165;1914065000;I;2016;0,05;0,02;0,00;0,00;1,00;1,00;14648,63;107,11;0,00;0,00;0,00;1,26;1,46;0,86;0,41;2,10;0,30;0,06;0,05;0,33;0,67;0,50;245,46;0,00;0,69;0,00;0,03;0,41;0,56;0,97;1,00;5,85;26,96;5,28;15,37;16,56;0,14;0,02;0,09;0,14;0,32;0,19;0,00;10,79;0,00
5166;6390021000;I;2016;0,32;0,09;0,04;0,01;1,01;1,01;17819,96;634,39;0,08;0,10;0,00;1,11;1,32;0,21;0,90;1,36;0,23;0,03;0,09;0,30;0,70;0,43;2,91;0,00;0,76;0,00;0,07;0,93;0,00;0,93;0,40;7,28;11,64;6,62;7,62;36,83;0,27;0,03;0,19;0,27;0,11;0,22;1,00;10,55;0,00
5167;5459826000;I;2016;-0,04;-0,02;0,03;0,00;1,00;1,00;16103,45;-251,11;-0,01;0,08;0,00;0,26;0,47;0,19;0,13;0,46;-0,33;-0,10;0,01;0,39;0,61;0,63;7,26;0,00;2,14;0,00;0,71;0,29;0,00;0,29;0,10;3,17;92,35;7,54;12,10;0,00;0,19;0,04;0,11;0,19;0,03;0,06;-1,00;11,32;0,00
5168;2274086000;I;2016;0,01;0,00;0,54;0,26;1,03;1,35;18554,00;636,33;0,02;-0,03;0,00;0,31;0,31;0,17;1,05;0,72;-0,25;-2,92;0,61;0,34;0,66;0,52;14,08;0,29;3,21;0,00;0,80;0,05;0,15;0,12;0,04;0,09;1,42;0,44;0,49;0,00;-0,10;-0,41;-0,04;-0,06;-0,03;-0,25;-0,37;13,26;0,00
5169;3548520000;I;2015;-2,00;0,12;0,01;0,01;1,02;1,01;22123,19;2107,25;0,12;-2,77;0,00;0,58;0,72;0,56;0,02;-1,85;-0,38;-0,04;0,00;-2,16;3,16;-0,68;25,40;1,80;1,39;1,00;0,00;0,97;0,00;0,99;0,06;8,75;74,21;5,32;8,76;0,00;0,12;0,02;0,16;0,05;-0,04;0,19;1,00;9,41;0,00
5170;3773523000;I;2016;0,06;0,02;-0,03;-0,03;1,01;0,97;15522,35;285,29;-0,08;-0,16;0,00;1,39;1,39;0,17;1,23;15,76;0,27;0,11;0,35;0,32;0,68;0,47;150,00;0,00;0,72;0,00;0,02;0,92;0,00;0,95;1,00;2,37;2,74;2,01;2,58;8,60;0,05;0,02;0,04;0,05;-0,01;0,11;-0,57;9,67;0,00
5171;6266258000;I;2015;-2,00;-3,35;-0,63;-0,63;0,62;0,61;-1961,00;-15412,00;-4,89;-12,25;1,00;0,00;0,05;0,00;0,03;-12,90;-12,55;-0,87;0,00;-12,25;13,25;-0,93;150,00;0,00;18,86;1,00;0,30;0,70;0,00;0,70;1,00;13,70;36,58;9,14;25,97;0,00;-0,63;-0,58;-3,59;-0,63;-0,09;0,10;-0,25;7,54;0,00
5172;3765881000;I;2014;-2,00;-0,22;-0,18;-0,18;0,85;0,85;10560,00;-2138,00;-0,21;-0,96;1,00;0,70;0,70;0,57;0,54;0,84;-0,42;-0,36;0,17;-0,42;1,42;-0,30;150,00;0,00;1,42;1,00;0,00;0,25;0,75;1,00;0,06;1,22;7,30;0,47;6,38;0,00;-0,07;-0,09;-0,10;-0,07;0,08;1,86;0,64;9,22;0,00
5173;3397840000;I;2013;0,99;0,06;0,06;0,06;1,07;1,07;32737,00;6362,00;0,41;0,00;0,00;1,99;1,99;1,23;0,83;3,62;0,42;0,06;0,05;0,58;0,42;1,37;1,01;0,00;0,50;0,00;0,16;0,84;0,00;0,84;1,03;1,10;26,69;0,83;12,10;21,61;-4,78;-1,46;-3,59;-3,39;-0,80;0,15;0,79;9,72;0,00
5174;6804047000;I;2015;-2,00;-3,35;-0,24;-0,25;0,80;0,80;5506,03;-6694,40;-2,60;0,00;0,00;0,07;0,19;0,07;0,00;-1,61;-1,91;-0,19;0,00;-1,34;2,34;-0,57;150,00;0,00;5,34;1,00;0,56;0,44;0,00;0,44;1,20;17,40;19,88;46,24;58,24;0,00;-1,06;-0,24;-2,47;-1,06;0,02;0,07;-1,00;8,70;0,00
5175;3895696000;I;2015;0,58;0,22;0,41;0,33;1,48;1,49;18554,00;636,33;0,27;0,21;0,00;0,25;0,27;0,10;0,27;0,57;-0,37;-0,45;0,10;0,49;0,51;0,98;1,49;0,00;3,75;0,00;0,03;0,14;0,83;0,14;0,01;0,77;9,90;1,72;4,18;0,00;0,59;0,36;0,30;0,59;-0,04;0,44;0,34;11,76;0,00
5176;2146304000;I;2016;-2,00;-1,16;-0,22;-0,22;0,82;0,82;8361,94;-4350,81;-0,95;-2,14;1,00;0,27;0,30;0,22;0,05;-18,23;-2,28;-0,53;0,04;-2,26;3,26;-0,69;150,00;0,00;3,32;1,00;0,02;0,98;0,00;0,98;0,23;5,27;32,37;0,96;6,64;0,00;0,10;0,08;0,32;0,10;0,57;0,13;-0,07;9,27;0,00
5177;6452604000;I;2014;-0,02;-0,01;-0,01;-0,01;0,99;0,99;12773,47;-136,74;-0,01;0,00;0,00;2,66;2,66;2,65;0,02;0,84;0,62;0,63;0,01;0,62;0,38;1,66;150,00;0,00;0,38;0,00;0,00;0,37;0,63;1,00;0,06;1,97;300,46;2,44;5,35;3,15;0,97;0,37;0,36;0,97;0,02;0,07;-1,00;9,39;0,00
5178;6507956000;I;2014;0,78;0,44;0,02;0,02;1,05;1,02;18129,80;1768,56;0,15;0,00;0,00;1,80;1,87;1,43;0,37;12,14;0,47;0,07;0,03;0,47;0,53;0,87;3,47;0,00;0,53;0,00;0,00;0,79;0,21;1,00;0,06;11,02;66,67;14,76;16,40;19,82;1,05;0,08;0,56;1,05;3,91;307,45;1,00;10,52;0,00
5179;5310814000;I;2013;-0,06;-0,01;-0,02;-0,02;1,00;0,98;10829,33;-426,33;-0,03;0,03;1,00;0,56;1,03;0,12;0,44;0,20;0,02;0,02;0,28;0,11;0,89;0,12;150,00;0,00;1,06;0,00;0,16;0,77;0,08;0,85;0,50;1,38;3,58;1,48;1,76;36,78;0,11;0,07;0,09;0,10;0,16;0,24;0,71;12,15;0,00
5180;6394370000;I;2014;0,65;0,30;0,16;0,16;1,18;1,19;29745,90;11182,79;0,26;0,10;0,00;1,70;1,75;1,16;0,54;13,84;0,43;0,26;0,18;0,43;0,57;0,75;2,20;0,00;0,57;0,00;0,00;0,35;0,65;1,00;0,06;2,33;6,16;2,86;4,28;5,11;0,92;0,31;0,52;0,92;1,36;1,65;0,33;11,08;0,00
5181;6659349000;I;2014;0,37;0,07;0,02;0,02;1,02;1,02;6636,84;800,96;0,04;0,00;0,00;1,20;1,22;0,76;0,43;7,93;0,18;0,10;0,19;0,18;0,82;0,22;20,33;0,00;0,82;0,00;0,00;1,00;0,00;1,00;0,06;3,80;10,75;3,98;3,72;20,76;0,58;0,25;0,47;0,58;0,02;0,07;1,00;10,82;0,00
5182;2186462000;I;2013;0,09;0,03;0,04;0,02;1,01;1,02;14212,00;501,26;0,04;0,00;0,00;0,29;0,48;0,20;0,20;0,43;-0,35;-0,14;0,02;0,31;0,69;0,44;6,60;0,03;2,10;0,00;0,63;0,26;0,06;0,32;0,42;2,84;42,68;6,32;9,99;0,00;0,16;0,04;0,11;0,16;0,32;0,13;-0,34;11,98;0,00
